Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,"Genesis 21:5, 8-20",Psalms 34:7-13,,7/5/2017,Matthew 8:28-34,Weekday
,Genesis 22:1-19,"Psalms 115:1-6, 8-9",,7/6/2017,Matthew 9:1-8,"St. Maria Goretti, Virgin, Martyr (Optional Memorial)"
,"Genesis 23:1-4, 19; 24:1-8, 62-67",Psalms 106:1-5,,7/7/2017,Matthew 9:9-13,Votive Mass of the Sacred Heart
,"Genesis 27:1-5, 15-29",Psalms 135:1-6,,7/8/2017,Matthew 9:14-17,"St. Gregory Grassi, Bishop and Companions, Martyrs (Optional Memorial)"
,Zechariah 9:9-10,"Psalms 145:1-2, 8-11, 13-14","Romans 8:9, 11-13",7/9/2017,Matthew 11:25-30,Fourteenth Sunday in Ordinary Time
,"2 Corinthians 4:6-11, 16, 17","Psalms 59:2, 10, 17-18",,7/10/2017,Matthew 16:24-27,"St. Veronica Giuliani, Virgin (Feast)"
,Genesis 32:23-33,"Psalms 17:1-3, 6-7, 8, 15",,7/11/2017,Matthew 9:32-38,"St. Benedict, Abbot (Memorial)"
,"Genesis 41:55-57; 42:5-7, 17-24","Psalms 33:2-3, 10-11, 18-19",,7/12/2017,Matthew 10:1-7,Weekday
,"Genesis 44:18-21, 23-29; 45:1-5",Psalms 105:16-21,,7/13/2017,Matthew 10:7-15,Weekday
,"Genesis 46:1-7, 28-30","Psalms 37:3-4, 18-19, 27-28, 39-40",,7/14/2017,Matthew 10:16-23,"St. Kateri Tekakwitha, Virgin (Memorial)"
,"Wisdom 8:2-7, 16-18",1 Corinthians 2:6-13,,7/15/2017,"Psalms 16:5-9, 11","St. Bonaventure, Bishop, Doctor of the Church (Feast)"
,Isaiah 55:10-11,Psalms 65:10-14,Romans 8:18-23,7/16/2017,Matthew 13:1-23,Fifteenth Sunday in Ordinary Time
,"Exodus 1:8-14, 22",Psalms 124:1-8,,7/17/2017,Matthew 10:34--11:1,Weekday
,Exodus 2:1-15,"Psalms 69:3, 14, 30-31, 33-34",,7/18/2017,Matthew 11:20-24,Weekday
,"Exodus 3:1-6, 9-12","Psalms 103:1-4, 6-7",,7/19/2017,Matthew 11:25-27,Weekday
,Exodus 3:13-20,"Psalms 105:1, 5, 8-9, 24-27",,7/20/2017,Matthew 11:28-30,Weekday
,Wisdom 8:9-16,2 Corinthians 5:14-21,,7/21/2017,"Psalms 67:2-5, 7-8","St. Lawrence of Brindisi, Priest, Doctor of the Church (Feast)"
,Exodus 12:37-42,"Psalms 136:1, 23-24, 10-15",,7/22/2017,"John 20:1-2, 11-18",St. Mary Magdalene (Feast)
