Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,Isaiah 49:1-6,"Psalms 71:1-6, 15, 17",,2017-04-11,"John 13:21-33, 36-38",Tuesday of Holy Week
,Isaiah 50:4-9,"Psalms 69:8-10, 21-22, 31, 33-34",,2017-04-12,Matthew 26:14-25,Wednesday of Holy Week
John 13:34,"Exodus 12:1-8, 11-14","Psalms 116:12-13, 15-18",1 Corinthians 11:23-26,2017-04-13,John 13:1-15,Holy Thursday Evening Mass of the Lord's Supper
Philippians 2:8-9,Isaiah 52:13--53:12,"Psalms 31:2, 6, 12-13, 15-17, 25",Hebrews 4:14-16; 5:7-9,2017-04-14,John 18:1--19:42,Friday of the Passion of the Lord (Good Friday)
"Psalms 118:1-2, 16-17, 22-23",Genesis 1:1--2:2,,"Psalms 104:1-2, 5-6, 10, 12-14, 24, 35",2017-04-15,"Psalms 42:3, 5; 43:3-4",Holy Saturday Night:  The Easter Vigil
1 Corinthians 5:7-8,"Acts 10:34, 37-43","Psalms 118:1-2, 16-17, 22-23",Colossians 3:1-4,2017-04-16,1 Corinthians 5:6-8,Easter Sunday (Solemnity)
Psalms 118:24,"Acts 2:14, 22-33","Psalms 16:1-2, 5, 7-11",,2017-04-17,Matthew 28:8-15,Monday in the Octave of Easter
Psalms 118:24,Acts 2:36-41,"Psalms 33:4-5, 18-20, 22",,2017-04-18,John 20:11-18,Tuesday in the Octave of Easter
Psalms 118:24,Acts 3:1-10,"Psalms 105:1-4, 6-9",,2017-04-19,Luke 24:13-35,Wednesday in the Octave of Easter
Psalms 118:24,Acts 3:11-26,"Psalms 8:2, 5-9",,2017-04-20,Luke 24:35-48,Thursday in the Octave of Easter
Psalms 118:24,Acts 4:1-12,"Psalms 118:1-2, 4, 22-27",,2017-04-21,John 21:1-14,Friday in the Octave of Easter
Psalms 118:24,Acts 4:13-21,"Psalms 118:1, 14-21",,2017-04-22,Mark 16:9-15,Saturday in the Octave of Easter
John 20:29,Acts 2:42-47,"Psalms 118:2-4, 13-15, 22-24",1 Peter 1:3-9,2017-04-23,John 20:19-31,Second Sunday of Easter or Divine Mercy Sunday
Colossians 3:1,"Revelation 3:7-8, 10-12",2 Timothy 2:8-13; 3:10-12,,2017-04-24,Psalms 119:137-144,"St. Fidelis of Sigmaringen, Capuchin, Priest, Martyr (Feast)"
